convert;name
Fiji;Fiji
Tanzania;Tanzania
bangladesh, bangladesh;Bangladesh
Iran, Iran;Iran
Bangladesh, Bangladesh;Bangladesh
W. Sahara;W. Sahara
PR China;China
Korea, Republic of Korea;North Korea
Russian Federation;Russia
Korea;South Korea
Republic of Korea b Korea, Republic of Korea;North Korea
Republic of Korea;North Korea
People's Republic of China;China
UK;United Kingdom
Singapore, Singapore;Singapore
Pakistan, Pakistan;Pakistan
UK, UK;United Kingdom
Canada;Canada
china, china;China
The Netherlands;Netherlands
China, China;China
usa;United States of America
USA;United States of America
United States;United States of America
United States of America;United States of America
china, pr china;China
China, PR China;China
United States of America;United States of America
Kazakhstan;Kazakhstan
Uzbekistan;Uzbekistan
Papua New Guinea;Papua New Guinea
Indonesia;Indonesia
Argentina;Argentina
Chile;Chile
Dem. Rep. Congo;Dem. Rep. Congo
Somalia;Somalia
Kenya;Kenya
Sudan;Sudan
Chad;Chad
Haiti;Haiti
Dominican Rep.;Dominican Rep.
Russia;Russia
Bahamas;Bahamas
Falkland Is.;Falkland Is.
Norway;Norway
Greenland;Greenland
Fr. S. Antarctic Lands;Fr. S. Antarctic Lands
Timor-Leste;Timor-Leste
South Africa;South Africa
Lesotho;Lesotho
Mexico;Mexico
Uruguay;Uruguay
Brazil;Brazil
Bolivia;Bolivia
Peru;Peru
Colombia;Colombia
Panama;Panama
Costa Rica;Costa Rica
Nicaragua;Nicaragua
Honduras;Honduras
El Salvador;El Salvador
Guatemala;Guatemala
Belize;Belize
Venezuela;Venezuela
Guyana;Guyana
Suriname;Suriname
France;France
Ecuador;Ecuador
Puerto Rico;Puerto Rico
Jamaica;Jamaica
Cuba;Cuba
Zimbabwe;Zimbabwe
Botswana;Botswana
Namibia;Namibia
Senegal;Senegal
Mali;Mali
Mauritania;Mauritania
Benin;Benin
Niger;Niger
Nigeria;Nigeria
Cameroon;Cameroon
Togo;Togo
Ghana;Ghana
C么te d'Ivoire;C么te d'Ivoire
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Liberia;Liberia
Sierra Leone;Sierra Leone
Burkina Faso;Burkina Faso
Central African Rep.;Central African Rep.
Congo;Congo
Gabon;Gabon
Eq. Guinea;Eq. Guinea
Zambia;Zambia
Malawi;Malawi
Mozambique;Mozambique
eSwatini;eSwatini
Angola;Angola
Burundi;Burundi
Israel;Israel
Lebanon;Lebanon
Madagascar;Madagascar
Palestine;Palestine
Gambia;Gambia
Tunisia;Tunisia
